iter	Passed	Remaining
0	0	527
1	1	517
2	1	477
3	1	442
4	2	435
5	2	415
6	2	407
7	3	404
8	3	390
9	3	382
10	4	374
11	4	368
12	4	362
13	5	357
14	5	353
15	5	349
16	5	346
17	6	342
18	6	341
19	7	343
20	7	347
21	7	345
22	8	343
23	8	344
24	8	347
25	9	348
26	9	345
27	9	342
28	11	372
29	11	369
30	11	366
31	12	363
32	12	361
33	12	359
34	13	361
35	13	363
36	13	361
37	14	359
38	14	357
39	14	356
40	15	354
41	15	353
42	15	353
43	16	352
44	16	350
45	16	349
46	17	348
47	17	346
48	17	345
49	18	343
50	18	342
51	18	341
52	19	340
53	19	340
54	19	340
55	20	338
56	20	337
57	20	336
58	21	335
59	21	335
60	21	334
61	22	333
62	22	333
63	22	332
64	23	333
65	23	331
66	23	330
67	24	330
68	24	328
69	24	327
70	25	327
71	25	327
72	25	327
73	26	326
74	26	325
75	26	325
76	27	324
77	27	323
78	27	323
79	28	322
80	28	322
81	28	321
82	28	319
83	29	318
84	29	317
85	29	316
86	30	316
87	30	315
88	30	314
89	31	314
90	31	313
91	31	313
92	32	313
93	32	312
94	32	312
95	33	311
96	33	310
97	33	310
98	34	309
99	34	309
100	34	309
101	35	308
102	35	308
103	35	307
104	35	306
105	36	305
106	36	305
107	36	304
108	37	303
109	37	303
110	37	303
111	38	303
112	38	302
113	38	301
114	39	301
115	39	301
116	39	300
117	40	300
118	40	300
119	40	299
120	41	299
121	41	298
122	41	297
123	42	297
124	42	296
125	42	296
126	42	295
127	43	295
128	43	296
129	44	296
130	44	296
131	45	296
132	45	295
133	45	294
134	46	295
135	46	295
136	46	294
137	47	294
138	47	293
139	47	293
140	48	292
141	48	291
142	48	291
143	48	290
144	49	290
145	49	289
146	49	289
147	50	289
148	50	288
149	50	288
150	51	288
151	51	287
152	51	286
153	52	287
154	52	286
155	52	286
156	53	286
157	53	285
158	53	285
159	54	285
160	54	283
161	54	283
162	55	283
163	55	282
164	55	282
165	56	282
166	56	282
167	57	282
168	57	282
169	57	281
170	58	281
171	58	281
172	58	281
173	59	281
174	59	280
175	59	280
176	60	279
177	60	279
178	60	278
179	61	278
180	61	278
181	61	277
182	62	277
183	62	277
184	62	276
185	63	276
186	63	275
187	63	275
188	64	275
189	64	275
190	64	274
191	65	274
192	65	274
193	65	274
194	66	273
195	66	273
196	66	273
197	67	272
198	67	272
199	68	272
200	68	272
201	68	271
202	69	272
203	69	272
204	70	271
205	70	271
206	70	271
207	71	270
208	71	270
209	71	269
210	72	269
211	72	268
212	72	268
213	73	268
214	73	267
215	73	267
216	74	268
217	74	267
218	75	267
219	75	267
220	75	267
221	76	267
222	76	266
223	76	266
224	77	265
225	77	265
226	77	264
227	78	264
228	78	263
229	78	263
230	79	263
231	79	262
232	79	262
233	79	261
234	80	261
235	80	261
236	81	261
237	81	260
238	81	260
239	82	260
240	82	260
241	82	259
242	83	259
243	83	258
244	84	261
245	86	264
246	87	267
247	88	267
248	89	268
249	89	269
250	90	270
251	91	270
252	91	271
253	92	272
254	93	272
255	94	273
256	94	274
257	95	275
258	96	275
259	97	276
260	97	277
261	98	277
262	99	278
263	100	279
264	100	279
265	101	281
266	102	282
267	103	283
268	104	283
269	105	284
270	105	284
271	106	285
272	107	285
273	107	284
274	108	286
275	109	287
276	110	287
277	110	288
278	111	288
279	112	289
280	113	289
281	114	290
282	114	290
283	115	290
284	116	291
285	116	291
286	117	292
287	118	292
288	118	292
289	119	293
290	120	293
291	121	293
292	121	294
293	122	294
294	123	295
295	124	295
296	124	295
297	125	296
298	126	296
299	127	296
300	128	297
301	128	297
302	129	297
303	130	298
304	130	298
305	131	298
306	132	298
307	133	299
308	134	299
309	135	300
310	135	300
311	136	301
312	137	301
313	137	301
314	138	301
315	139	302
316	140	302
317	141	302
318	141	302
319	142	302
320	142	301
321	143	302
322	144	302
323	145	302
324	145	302
325	146	303
326	147	303
327	148	304
328	149	304
329	149	304
330	150	304
331	151	305
332	152	305
333	153	305
334	154	306
335	155	306
336	155	306
337	156	306
338	157	306
339	158	308
340	160	309
341	160	309
342	161	309
343	162	309
344	163	309
345	163	309
346	164	308
347	164	308
348	164	307
349	165	306
350	165	305
351	165	305
352	166	304
353	166	303
354	166	303
355	167	302
356	167	302
357	168	301
358	168	300
359	168	299
360	169	299
361	169	298
362	169	297
363	169	297
364	170	296
365	170	295
366	170	294
367	171	294
368	171	293
369	172	293
370	175	298
371	176	298
372	177	298
373	178	298
374	179	298
375	179	298
376	180	298
377	181	298
378	181	298
379	182	298
380	183	297
381	184	297
382	185	298
383	185	298
384	186	297
385	186	297
386	187	297
387	188	297
388	189	297
389	189	296
390	190	296
391	191	296
392	192	296
393	192	296
394	193	296
395	194	296
396	195	296
397	195	296
398	196	296
399	197	296
400	198	296
401	198	295
402	199	295
403	200	295
404	200	294
405	201	294
406	202	294
407	202	293
408	202	293
409	204	294
410	205	294
411	205	293
412	206	293
413	207	293
414	207	292
415	208	292
416	209	292
417	210	292
418	210	292
419	211	292
420	212	292
421	213	291
422	213	291
423	214	291
424	215	291
425	215	290
426	217	291
427	218	291
428	218	291
429	219	291
430	220	290
431	221	290
432	221	290
433	222	290
434	223	289
435	223	289
436	224	289
437	225	289
438	226	288
439	226	288
440	227	287
441	228	287
442	228	287
443	228	286
444	229	286
445	230	286
446	231	286
447	232	286
448	232	285
449	233	285
450	234	285
451	234	284
452	235	284
453	236	283
454	236	283
455	237	283
456	238	283
457	239	283
458	239	282
459	240	282
460	241	282
461	242	281
462	242	281
463	243	281
464	244	280
465	244	280
466	245	280
467	246	280
468	247	279
469	247	279
470	248	278
471	248	278
472	249	278
473	250	277
474	251	277
475	251	277
476	252	276
477	252	276
478	253	275
479	253	274
480	253	273
481	255	274
482	256	274
483	256	273
484	257	273
485	258	273
486	258	272
487	259	272
488	260	272
489	260	271
490	260	270
491	261	269
492	261	268
493	262	269
494	263	268
495	264	268
496	264	267
497	265	267
498	266	267
499	267	267
500	267	266
501	267	265
502	269	266
503	269	265
504	270	265
505	271	265
506	272	264
507	273	264
508	274	264
509	275	264
510	276	264
511	277	264
512	278	264
513	279	264
514	280	263
515	281	263
516	282	263
517	283	263
518	283	263
519	284	262
520	285	262
521	285	261
522	286	261
523	286	260
524	287	260
525	288	259
526	288	258
527	289	258
528	290	258
529	290	257
530	291	257
531	291	256
532	292	256
533	293	256
534	294	255
535	294	255
536	295	254
537	296	254
538	296	253
539	297	253
540	297	252
541	298	252
542	299	251
543	299	251
544	300	250
545	300	250
546	301	249
547	302	249
548	302	248
549	303	248
550	303	247
551	304	247
552	305	246
553	305	246
554	306	245
555	307	245
556	308	245
557	309	245
558	310	245
559	312	245
560	312	244
561	314	245
562	315	244
563	316	244
564	317	244
565	318	243
566	318	243
567	319	243
568	320	242
569	321	242
570	321	241
571	321	240
572	322	239
573	322	239
574	323	238
575	323	238
576	324	238
577	325	237
578	325	237
579	326	236
580	327	235
581	327	235
582	328	234
583	328	233
584	329	233
585	330	233
586	330	232
587	331	232
588	332	231
589	332	231
590	332	230
591	334	230
592	334	229
593	335	229
594	336	228
595	336	228
596	337	227
597	338	227
598	338	226
599	339	226
600	339	225
601	340	224
602	341	224
603	341	224
604	342	223
605	343	223
606	343	222
607	344	221
608	344	221
609	345	220
610	346	220
611	346	219
612	347	219
613	348	218
614	348	218
615	349	217
616	350	217
617	350	216
618	351	216
619	352	215
620	352	215
621	352	214
622	353	214
623	354	213
624	355	213
625	355	212
626	356	212
627	357	211
628	357	210
629	358	210
630	358	209
631	359	209
632	359	208
633	360	208
634	361	207
635	362	207
636	362	206
637	363	206
638	363	205
639	364	205
640	365	204
641	365	203
642	365	203
643	367	202
644	367	202
645	368	202
646	369	201
647	370	201
648	371	200
649	371	200
650	371	199
651	372	198
652	373	198
653	374	198
654	375	197
655	376	197
656	376	196
657	376	195
658	378	195
659	378	195
660	379	194
661	380	194
662	380	193
663	381	193
664	382	192
665	383	192
666	383	191
667	384	191
668	384	190
669	385	189
670	386	189
671	387	189
672	387	188
673	388	187
674	389	187
675	389	186
676	390	186
677	391	185
678	391	185
679	393	184
680	393	184
681	394	183
682	395	183
683	396	183
684	396	182
685	397	181
686	397	181
687	398	180
688	398	180
689	400	179
690	400	179
691	400	178
692	401	177
693	401	177
694	401	176
695	402	175
696	402	174
697	402	174
698	403	173
699	403	172
700	403	172
701	404	171
702	404	171
703	406	170
704	406	170
705	407	169
706	407	168
707	407	168
708	408	167
709	408	166
710	408	166
711	409	165
712	409	164
713	409	164
714	410	163
715	410	162
716	412	162
717	412	162
718	413	161
719	413	160
720	413	160
721	414	159
722	414	158
723	414	158
724	415	157
725	415	156
726	416	156
727	416	155
728	417	155
729	418	154
730	419	154
731	419	153
732	420	153
733	420	152
734	420	151
735	421	151
736	421	150
737	421	149
738	421	149
739	422	148
740	422	147
741	424	147
742	425	147
743	425	146
744	426	145
745	426	145
746	426	144
747	427	143
748	427	143
749	427	142
750	428	141
751	428	141
752	428	140
753	431	140
754	432	140
755	433	139
756	433	139
757	433	138
758	434	137
759	434	137
760	434	136
761	434	135
762	435	135
763	435	134
764	436	133
765	436	133
766	436	132
767	437	132
768	437	131
769	437	130
770	438	130
771	438	129
772	439	128
773	439	128
774	439	127
775	440	127
776	440	126
777	440	125
778	440	125
779	441	124
780	442	123
781	442	123
782	442	122
783	443	122
784	443	121
785	444	120
786	444	120
787	444	119
788	445	119
789	445	118
790	445	117
791	446	117
792	446	116
793	446	115
794	447	115
795	447	114
796	448	114
797	448	113
798	449	113
799	449	112
800	450	111
801	450	111
802	450	110
803	451	110
804	451	109
805	451	108
806	452	108
807	452	107
808	452	106
809	453	106
810	453	105
811	454	105
812	454	104
813	455	104
814	455	103
815	456	102
816	456	102
817	457	101
818	457	101
819	457	100
820	458	99
821	458	99
822	458	98
823	459	98
824	459	97
825	460	96
826	460	96
827	461	95
828	461	95
829	462	94
830	462	94
831	463	93
832	463	92
833	463	92
834	464	91
835	464	91
836	465	90
837	465	90
838	467	89
839	468	89
840	468	88
841	469	88
842	469	87
843	470	86
844	470	86
845	470	85
846	470	85
847	471	84
848	471	83
849	471	83
850	473	82
851	473	82
852	474	81
853	475	81
854	475	80
855	475	80
856	476	79
857	476	78
858	476	78
859	476	77
860	477	77
861	477	76
862	478	75
863	479	75
864	479	74
865	480	74
866	480	73
867	481	73
868	481	72
869	482	72
870	482	71
871	483	70
872	483	70
873	483	69
874	484	69
875	485	68
876	486	68
877	486	67
878	486	67
879	487	66
880	487	65
881	487	65
882	488	64
883	488	64
884	488	63
885	489	62
886	489	62
887	489	61
888	490	61
889	490	60
890	490	60
891	491	59
892	491	58
893	492	58
894	492	57
895	492	57
896	493	56
897	493	56
898	493	55
899	494	54
900	494	54
901	494	53
902	495	53
903	495	52
904	495	52
905	496	51
906	496	50
907	496	50
908	497	49
909	497	49
910	497	48
911	498	48
912	498	47
913	499	46
914	499	46
915	499	45
916	500	45
917	500	44
918	500	44
919	500	43
920	501	42
921	501	42
922	501	41
923	502	41
924	502	40
925	502	40
926	503	39
927	503	39
928	503	38
929	504	37
930	504	37
931	505	36
932	505	36
933	505	35
934	506	35
935	506	34
936	506	34
937	506	33
938	507	32
939	507	32
940	507	31
941	508	31
942	508	30
943	508	30
944	509	29
945	509	29
946	509	28
947	510	27
948	510	27
949	510	26
950	511	26
951	511	25
952	511	25
953	512	24
954	512	24
955	512	23
956	513	23
957	513	22
958	513	21
959	514	21
960	514	20
961	514	20
962	515	19
963	515	19
964	515	18
965	516	18
966	516	17
967	516	17
968	517	16
969	517	16
970	518	15
971	518	14
972	518	14
973	518	13
974	519	13
975	519	12
976	519	12
977	520	11
978	520	11
979	520	10
980	521	10
981	521	9
982	521	9
983	522	8
984	522	7
985	522	7
986	523	6
987	523	6
988	524	5
989	524	5
990	524	4
991	525	4
992	525	3
993	525	3
994	525	2
995	526	2
996	526	1
997	526	1
998	527	0
999	527	0
